location,Bogotá,Bogotá,Bogotá,Bogotá
lat,4.65067,4.65067,4.65067,4.65067
lon,-74.11948,-74.11948,-74.11948,-74.11948
asl,2485.715,2485.715,2485.715,2485.715
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bogotá Temperature [2 m elevation corrected],Bogotá Relative Humidity [2 m],Bogotá Wind Speed [10 m],Bogotá Wind Direction [10 m]
20210105T1600,15.134147,72.0,12.979984,266.8202
20210105T1700,14.214147,79.0,10.08,270.0
20210105T1800,12.954146,84.0,8.669949,274.76364
20210105T1900,12.3341465,88.0,6.489992,273.17984
20210105T2000,12.234146,86.0,3.219938,116.56505
20210105T2100,12.274146,84.0,1.1384199,108.434944
20210105T2200,12.544147,82.0,3.319036,319.3987
20210105T2300,12.404146,84.0,4.1046314,322.12503
20210106T0000,12.014147,88.0,2.5455842,8.130096
20210106T0100,11.744146,88.0,3.0547013,44.999985
20210106T0200,11.404146,88.0,3.5455887,66.037506
20210106T0300,11.374146,89.0,3.0758414,69.443954
20210106T0400,11.134147,91.0,2.3051248,51.34018
20210106T0500,10.754147,91.0,2.5455842,44.999985
20210106T0600,10.0841465,94.0,3.319036,49.398697
20210106T0700,10.704146,86.0,3.5455887,66.037506
20210106T0800,12.654146,69.0,6.2145634,100.00798
20210106T0900,14.924147,56.0,3.8268526,138.81407
20210106T1000,16.804146,49.0,3.6179552,185.71059
20210106T1100,18.144146,45.0,3.7585104,196.69925
20210106T1200,18.924145,45.0,4.1046314,195.25513
20210106T1300,19.214146,46.0,4.6102495,218.65982
20210106T1400,17.514145,58.0,6.489992,236.30994
20210106T1500,15.984147,69.0,7.4128532,240.9454
20210106T1600,15.064146,75.0,7.289444,249.77515
20210106T1700,14.354146,77.0,5.95906,244.98311
20210106T1800,13.774146,79.0,3.0547013,225.0
20210106T1900,13.664146,79.0,2.6208394,164.0546
20210106T2000,13.494146,76.0,5.1544156,102.09476
20210106T2100,12.904146,77.0,3.9763298,84.805565
20210106T2200,12.134147,81.0,4.6938252,85.60129
20210106T2300,11.324146,86.0,5.7599998,89.99999
20210107T0000,10.724147,87.0,6.489992,93.179825
20210107T0100,10.184147,86.0,7.42159,104.03624
20210107T0200,9.554147,85.0,8.12197,102.80426
20210107T0300,8.994146,84.0,8.12197,102.80426
20210107T0400,8.654146,82.0,9.255571,103.49573
20210107T0500,8.684147,84.0,8.12197,102.80426
20210107T0600,8.864146,87.0,8.12197,102.80426
20210107T0700,10.374146,86.0,7.8625183,105.9454
20210107T0800,12.864146,73.0,9.885262,123.11134
20210107T0900,14.804147,64.0,9.931042,133.53119
20210107T1000,16.564148,55.0,9.931042,133.53119
20210107T1100,16.754147,54.0,9.686609,138.01279
20210107T1200,16.404148,58.0,12.88981,144.09027
20210107T1300,16.774147,57.0,12.682018,145.40771
20210107T1400,16.734146,56.0,9.178235,154.44003
20210107T1500,16.964146,54.0,6.28713,166.75948
20210107T1600,17.314148,54.0,5.4119864,176.18593
20210107T1700,16.584145,60.0,4.379589,170.53767
20210107T1800,15.264147,66.0,5.154415,155.22485
20210107T1900,14.314146,70.0,7.127636,135.0
20210107T2000,13.5841465,67.0,3.396233,122.00538
20210107T2100,13.074146,69.0,5.8603754,100.61965
20210107T2200,12.734146,73.0,5.4477882,97.59464
20210107T2300,12.624146,76.0,5.506941,101.30993
20210108T0000,12.384147,78.0,5.1544156,102.09476
20210108T0100,12.124146,80.0,3.96,89.99999
20210108T0200,11.894147,81.0,3.2599385,83.65981
20210108T0300,11.604146,83.0,3.671294,78.69006
20210108T0400,11.014147,85.0,4.379589,80.537674
20210108T0500,10.624146,86.0,4.68,89.99999
20210108T0600,10.434147,86.0,5.04,89.99999
20210108T0700,11.554147,79.0,3.6,89.99999
20210108T0800,12.994146,70.0,2.1897945,80.537674
20210108T0900,14.634147,64.0,1.1384199,71.56504
20210108T1000,16.324146,57.0,1.2979984,303.69006
20210108T1100,16.754147,56.0,3.2399998,270.0
20210108T1200,16.854145,58.0,5.0142193,248.9625
20210108T1300,16.154148,63.0,6.792466,237.99463
20210108T1400,15.494147,69.0,6.9153743,231.3402
20210108T1500,15.204146,73.0,6.193674,234.46233
20210108T1600,14.854146,75.0,5.1919937,236.30994
20210108T1700,14.3341465,77.0,4.510787,241.38954
20210108T1800,13.664146,81.0,3.671294,258.69006
20210108T1900,13.174147,84.0,4.1046314,254.74487
20210108T2000,12.704146,87.0,4.6800003,247.38014
20210108T2100,12.284146,90.0,3.7064266,209.05461
20210108T2200,11.864146,90.0,4.1046314,217.87498
20210108T2300,11.364146,91.0,2.5959969,213.69006
